en	phonetic	cn	example	exampleCn	synonym	root
fasten	/ˈfæsən/	v. 扎牢， 扣住	Make sure all the windows are securely fastened before you leave.	离开前要确保所有的窗子都已关严。	同义：focus on, fix, pay attention, take hold	同根：fast 快速的，迅速的；紧的，稳固的；fast 迅速地；紧紧地；彻底地；fast 斋戒；绝食
contest	/kənˈtɛst/	n. 竞赛， 争夺 vt. 争夺， 与…竞争； 对…提出质疑， 辩驳	Stone decided to hold a contest to see who could write the best song.	斯通决定举行一场比赛，看谁能够写出最佳歌曲。	同义：argue against, chop logic, cope, rival	同根：contestable 争论的；可争的；contestant 竞争者；争辩者；contestation 争论；主张
author	/ˈɔθɚ/	n. 著作家， 作者	Nothomb is a Belgian author.	诺东是位比利时作家。	同义：writer, pen	同根：authorship （书等的）原创作者，来源；作者的身份；著述业；authoress 女作家，女作者
astrophysics	/,æstroˈfɪzɪks/	n. 天体物理学	We provide courses in the field of physics, astrophysics and mathematics.	我们提供物理、 天体物理和数学领域的课程。		同根：astrophysical 天体物理学的；astrophysicist 天体物理学家
greenhouse	/ˈɡrinhaʊs/	n. 温室， 暖房	What we are seeking, after all, is not simply an agreement to limit greenhouse gas emissions.	我们正在寻求的目标毕竟不只是一项限制温室气体排放的协议。	同义：heated housing, glasshouse	同根：greenery 绿色植物；温室
preserve	/prɪˈzɝv/	vt. 保护， 维持； 保存； 腌制	We must encourage the planting of new trees and preserve our existing woodlands.	我们必须鼓励栽种新树木，同时也要保护现有的林地。	同义：maintain, save, secure, corn	同根：preservative 防腐的；有保存力的；有保护性的；preservable 可保存的；可保管的；能储藏的；preservation 保存，保留
plus	/plʌs/	adj. 表示加的；正的 prep. 加，加上 n. 加号， 正号	Daytime temperatures barely reached plus 5˚.	白天的气温仅零上5度。	同义：benefit, good, additional, attached	
expansion	/ɪkˈspænʃən/	n. 扩大， 扩充， 扩张， 膨胀	The industry underwent a period of rapid expansion.	该产业经历了一轮快速扩张。	同义：inflation, exposition	同根：expanded 扩充的；展开的；expansive 广阔的；扩张的；豪爽的；expandable 可膨胀的；可张开的
relevant	/ˈrɛləvənt/	adj. 有关的， 切题的	Relevant documents were presented in court.	法庭上出示了相关的文件。	同义：concerned, involved	同根：relevantly 贴切地；得要领地
entry	/ˈɛntri/	n. 入口处； 登记； 进入； 参赛者名单； 条目	There was no sign of a forced entry.	没有强行闯入的迹象。	同义：threshold, registration, access, portal	同根：entryway 入口通道
license	/ˈlaɪsns/	n. 许可，执照 vt. 准许	Interface that you implement to handle result of the license check.	您可以通过实现这个接口来处理许可检查的结果。	同义：permit, patent, permit, charter	同根：licensed 得到许可的（等于licenced）；licenced 得到许可的；领有执照的；licence 许可证，执照；特许
synthetic	/sɪnˈθɛtɪk/	adj. 综合的， 合成的； 虚假的	synthetic chemicals	合成化学品	同义：comprehensive, integrated, artificial, general	同根：synthetically 综合地；合成地；synthesis 综合，[化学] 合成；综合体；synthesizer [电子] 合成器；合成者
headquarters	/ˈhɛdkwɔrtɚz/	n. 司令部， 总部	the headquarters of the United Nations	联合国总部	同义：command, main office	
gaze	/ɡeɪz/	n&vi. 凝视， 盯， 注视	Patrick sat gazing into space  (= looking straight in front, not at any particular person or thing ).	帕特里克坐着，茫然地看着前方。	同义：watch, regard, regard, immediate attention	
survey	/ˈsɝˌve/	vt. 俯瞰； 检查； 测量 n. 调查， 勘察； 测量， 勘测； 全面审视， 概括论述	Of the 100 companies surveyed, 10% had a turnover of £50 m to £99 m.	被调查的 100 家公司中，10% 的公司营业额在 5,000 万到 9,900 万英镑之间。	同义：investigation, measurement, probe, research	同根：surveyor 测量员；检验员；surveying （土地）测量；考察
plug	/plʌɡ/	n. 插头，插座；塞子，栓 vt. 把…塞住， 用…塞住	the bath plug	浴缸塞子	同义：male connector, tampion, stop up, build in	同根：plugged 堵塞的；塞紧的；plugger （牙齿）填塞物；苦干的人；宣传员；广告播音员；plugged 堵塞；接通电源（plug的过去分词）
bunch	/bʌntʃ/	vi. 集中， 挤在一起； 形成一束 n. 群，伙；束，串，捆 vt. 使成一束	She bunched the cloth up and threw it away.	她把布揉成一团扔了。	同义：cluster, gang, qun, fix pleats	同根：bunched 成束的；bunchy 成串的；束状的；bunched 形成一串；隆起；集中（bunch的过去分词）
thermometer	/θɚˈmɑmɪtɚ/	n. 温度计， 寒暑表	The thermometer registered over 100˚C.	温度计显示高于100摄氏度。	同义：temperature gauge, temperature meter	同根：thermometric 寒暑表的；温度计的；thermogram 温度自记曲线；thermograph 温度记录器；[仪] 热录像仪
tense	/tɛns/	adj. 拉紧的；紧张的 v. 拉紧， 绷紧 n. 时态	Is anything wrong? You look a little tense.	有什么不对劲吗？你看起来有点紧张。	同义：intense, stressed, get nervous, strain	同根：tensed 紧的；紧张的；tensional 张力的；紧张的；tensely 紧张地；拉紧地
postpone	/poˈspon/	vt. 延迟， 延期	The match had to be postponed until next week.	比赛不得不推迟到下周举行。	同义：adjourn, stave off, time delay	同根：postponement 延期；延缓
bride	/braɪd/	n. 新娘	Guests toasted the bride and groom with champagne.	客人们以香槟为新娘新郎敬酒。	同义：judy, colleen	同根：bridal 新娘的；婚礼的；bridal 婚礼
favourable	/ˈfeivərəbl/	adj. 有利的， 赞成的； 顺利的	The disease spreads quickly under favourable conditions .	这种病在合适的条件下会传播得很快。	同义：beneficial, advantageous, smooth, adventage	同根：favorable 有利的；良好的；赞成的，赞许的；讨人喜欢的；favored 有利的；受到优待的；受到喜爱的；favorably 顺利地；亲切地；好意地
hammer	/ˈhæmɚ/	v. 锤击 n. 锤，榔头	the sound of hammering and sawing	锤打和拉锯的声音	同义：read back, tupid, malleus	同根：hammered 锤成的；铸打成的；hammering 锤击；锤打；抨击；hammered 锤打（hammer的过去式和过去分词形式）
candy	/ˈkændɪ/	n. 糖果	a box of candies	一盒糖果	同义：glorify, glamorize, drug, sweet	同根：candied 甜蜜的；糖制的；甜言蜜语的；candied 把…制成糖果；美化（candy的过去分词）
seal	/sil/	n. 封铅，封条；印，图章；海豹 vt. 封	The seal on the box broke when it fell from its hiding-place.	盒子从隐藏处掉下时上面的封口破了。	同义：symbol, print, pressure, air proof	同根：sealed 密封的；未知的；sealing 封闭，[机] 密封；补铸件的漏洞；猎捕海豹业；sealant [机] 密封剂
mental	/ˈmɛntl/	adj. 心理的， 精神的， 思想上的； 精神病的； 智力的	The centre provides help for people suffering from mental illness .	该中心对精神病患者提供帮助。	同义：spiritual, inner, psychopath, madman	同根：mentally 精神上，智力上；心理上；mentality 心态；[心理] 智力；精神力；头脑作用；mentation 心理状态；精神作用；精神活动
decent	/ˈdisnt/	adj. 像样的， 过得去的， 体面的； 宽厚的， 大方的； 正派的； 合乎礼仪的， 得体的	a decent burial	得体的葬礼	同义：proper, goodish	同根：decently 合适地；高雅地；正派地；亲切地；decency 正派；体面；庄重；合乎礼仪；礼貌
storage	/ˈstɔrɪdʒ/	n. 贮藏； 贮藏量	the storage of highly radioactive material	高放射性材料的存放	同义：warehouse, repository	同根：stored 储存的；store 商店；储备，贮藏；仓库；storekeeper 店主；仓库管理员；零售店店主
investigate	/ɪnˈvɛstɪɡet/	v. 调查， 研究	The state police are investigating the incident.	州警察正调查此事。	同义：check into, inquire into	同根：investigative 研究的；调查的；好调查的；investigatory 调查的，审查的；研究的，好研究的；investigation 调查；调查研究
racial	/ˈreʃl/	adj. 种族的， 人种的	a victim of racial discrimination	种族歧视的受害者	同义：ethnic, tribal	同根：racially 人种上；按人种；racist 种族主义者；racism 种族主义，种族歧视；人种偏见
switch	/swɪtʃ/	v. 转换， 改变 n. 开关，电闸；转换，改变	The terrorists will switch tactics .	恐怖分子会改变战术。		同根：switching [电] 开关；转换；整流；配电；switcher 交换机；转换开关；调车机车；switching 转换（switch的ing形式）
niece	/nis/	n. 侄女， 外甥女	...his niece, the daughter of his eldest sister.	…他的外甥女，他大姐的女儿。		
considerable	/kənˈsɪdərəbl/	adj. 相当大的； 重要的	Michael has already spent considerable time in Barcelona.	迈克尔在巴塞罗那已经待了相当长的时间了。	同义：crucial, important, material, big	同根：considered 经过深思熟虑的；被尊重的；considerably 相当地；非常地；consideration 考虑；原因；关心；报酬
auxiliary	/ɔːɡˈzɪlɪəri/	adj. 辅助的， 附属的； 后备的	an auxiliary nurse	助理护士	同义：helping verb, adminicle, additional, assistant	
heal	/hil/	vi. 愈合， 痊愈， 恢复健康 vt. 使愈合，治愈，使康复；调停，消除	It took three months for my arm to heal properly.	我的胳膊三个月之后才痊愈。	同义：charm away, charm off, cure, scar	同根：healing 能治愈的；healing 康复；healer 医治者（尤指用宗教迷信方式给人治病的人）；治疗物；治病术士
reserve	/rɪˈzɝv/	vt. 保留，留存；预订 n. 储备； 保留； 拘谨， 矜持； 替补队员， 后备部队； 自然保护区	Do you have to reserve tickets in advance?	你必须预先订票吗？	同义：store, repertory, stay at, save from	同根：reserved 保留的，预订的；缄默的，冷淡的；包租的；reservation 预约，预订；保留；reserved 保留（reserve的过去分词）
somehow	/ˈsʌmhaʊ/	adv. 由于某种原因， 不知怎么的； 以某种方式	Don’t worry, we’ll get the money back somehow.	别担心，我们总会把那些钱拿回来的。	同义：one way or another, puzzlingly	同根：someway 好歹，总算；以某种方式
brick	/brɪk/	n. 砖， 砖块， 砖状物	a brick wall	砖墙		
sympathy	/ˈsɪmpəθi/	n. 同情； 一致， 支持， 赞同	Our sympathies are with the families of the victims.	我们向受害者家庭表示慰问。	同义：acceptance, feeling, compassion, pity	同根：sympathetic 同情的；交感神经的；共鸣的；赞同的；和谐的；合意的；sympathetically 悲怜地，怜悯地；富有同情心地；sympathetic 交感神经；容易感受的人
heap	/hip/	n. 堆， 大量	a rubbish heap	垃圾堆	同义：lots of, pile, accumulation, sea	
consumer	/kənˈsumɚ/	n. 消费者， 用户， 消耗者	Consumers will soon be paying higher airfares.	不久消费者就要支付更高的机票价了。	同义：user, customer, client, guest	同根：consuming 消费的；强烈的；consumed 充满的；对…著迷的；consumable 可消耗的；可消费的
rescue	/ˈrɛskju/	n&vt. 营救， 救援	Survivors of the crash were rescued by helicopter.	空难的生还者被直升机救了出来。	同义：deliverance	同根：rescuer 救助者
cripple	/ˈkrɪpl/	n. 跛子；残疾人 vt. 使跛； 使残疾	She has gone from being a healthy, fit, and sporty young woman to being a cripple.	她从一个健康、强壮、爱好体育运动的年轻姑娘变成了一个残疾人。	同义：break, to weaken, disablement, lameness	同根：crippling 造成严重后果的；crippled 残废的，跛腿的；crippling 削弱（cripple的ing形式）；使受损
